,arousal,valence
2rPE9A1vEgShuZxxzR2tZH,0.5299162219212374,0.6048126453017237
5p7ujcrUXASCNwRaWNHR1C,0.5271214186296853,0.5591995976660423
1A6OTy97kk0mMdm78rHsm8,0.512403134573967,0.5661718568595234
5tAa8Uaqr4VvA3693mbIhU,0.5598833970605288,0.5966670805817827
2LskIZrCeLxRvCiGP8gxlh,0.6196000899023182,0.6286138565777303
6rrTr2HEAzlpC4KWZxF3S1,0.507143155706253,0.5244779024498637
2RSHsoi04658QL5xgQVov3,0.5454841969957114,0.5685002360155625
14sOS5L36385FJ3OL8hew4,0.6308865567340023,0.6375276469063951
5JEx7HbmvHQQswJCsoo9rA,0.5482199845725247,0.6082058078499756
14JzyD6FlBD5z0wV5P07YI,0.42094961839715295,0.46007743501852283
25sgk305KZfyuqVBQIahim,0.6107277369725714,0.6389733664489228
5sdb5pMhcK44SSLsj1moUh,0.5238919942052159,0.5262026381850957
7jr3iPu4O4bTCVwLMbdU2i,0.6319688921849678,0.6611460722775142
4CH66Rxcjcj3VBHwmIBj4T,0.5349793092645753,0.5779600504105793
4w8niZpiMy6qz1mntFA5uM,0.5230404697430509,0.5568912194751748
1uru26I2JKd2mQZt0MDCUe,0.5313840164242998,0.5520206599384374
116H0KvKr2Zl4RPuVBruDO,0.4824415181982231,0.5191721516815271
3WefHNGtjexZvi66ZEx9u4,0.5802006749386626,0.618781526932408
6xtcFXSo8H9BZN637BMVKS,0.5902244316711529,0.6267137036670454
6SkHm6poyKfzV6kc9any8k,0.4963079096643883,0.530153095191439
6QfS2wq5sSC1xAJCQsTSlj,0.5233498891459892,0.5829905770025265
2r1T6xGTVaNAqBoPH4lZEE,0.594417085499032,0.5931287529856527
2xLMifQCjDGFmkHkpNLD9h,0.499479769304804,0.5455165459709825
2hnxrRNzF74mdDzpQZQukQ,0.5658793270892593,0.5847246825604646
2GGMabyHXnJmjY6CXhhB2e,0.4808276790936633,0.5274242361939272
5aXgz1oKK8Q9z9xvTmSnrO,0.6218564745855888,0.6430293832837828
2dpaYNEQHiRxtZbfNsse99,0.5092399384176756,0.5528171335571472
5AdnkoZJuRJCYqYBIzSqFb,0.63135848317073,0.6130895880073344
05mAIVLkIWc2d1UBYZBCp8,0.6691137462841318,0.6753313648801869
4J4zx8xGJpuGndrVc06KaT,0.6736874634965654,0.6842028915363858
7l3E7lcozEodtVsSTCkcaA,0.469012577524606,0.5145296628307302
1tT55K6VEyO6XFDxK4lDQe,0.39955615340803385,0.44017957093098936
1ArLnG0bHaHPXqf08sEKM0,0.49117537590667537,0.5560986601655655
6r05pfZigq7Arg25pi2vRm,0.5540646366806539,0.5904160626933823
3ji4bcQugJj5B6NRGYDNwP,0.4775220294575029,0.5631848180331677
2jZIfoe48eUeOEnP9Ho4h2,0.5686944367029343,0.5917788873040646
0QIjsbm2fh1cJ45XO9eGqq,0.5354495735097267,0.5803707204683921
2rbDhOo9Fh61Bbu23T2qCk,0.6335559611580516,0.6377143501402469
5qHirGR7M9tdm6C17DlzSY,0.5212391570028677,0.5302627474502347
2JqnpexlO9dmvjUMCaLCLJ,0.5261346010552005,0.5525153432952087
1wsLHgXJ4SKIfd5ePSX1hD,0.629840567367438,0.6629425890898535
3EPXxR3ImUwfayaurPi3cm,0.5099996881759118,0.5378063399868659
04MLEeAMuV9IlHEsD8vF6A,0.5043776226805017,0.5226985116941834
33zcmmElV1YbRZe57biUjg,0.4821915398462515,0.5348988925153408
